Observation: Box([-90.        -90.         -5.         -5.         -3.1415927  -5.
  -0.         -0.       ], [90.        90.         5.         5.         3.1415927  5.
  1.         1.       ], (8,), float32), float32
Action:      Discrete(4), int64
Using cpu device
action values = [ 0.0127886  -0.11541089  0.09351447 -0.02927131]
[1369.5] #248: length 387, score 261, epsilon 0.030
[1370.2] #249: length 413, score 223, epsilon 0.030
[1371.0] #250: length 404, score 260, epsilon 0.030
[1371.7] #251: length 427, score 228, epsilon 0.030
[1372.6] #252: length 432, score 221, epsilon 0.030
[1373.4] #253: length 437, score 234, epsilon 0.030
[1374.4] #254: length 528, score 214, epsilon 0.030
[1375.1] #255: length 373, score 226, epsilon 0.030
[1376.3] #256: length 641, score 236, epsilon 0.030
[1377.0] #257: length 387, score 258, epsilon 0.030
[1377.9] #258: length 488, score 235, epsilon 0.030
[1378.9] #259: length 513, score 186, epsilon 0.030
[1380.0] #260: length 539, score 220, epsilon 0.030
[1380.8] #261: length 453, score 208, epsilon 0.030
[1381.7] #262: length 506, score 218, epsilon 0.030
[1382.5] #263: length 414, score 218, epsilon 0.030
[1383.2] #264: length 398, score 269, epsilon 0.030
[1384.4] #265: length 582, score 226, epsilon 0.030
[1385.0] #266: length 355, score 251, epsilon 0.030
[1387.1] #267: length 849, score 194, epsilon 0.030
[1387.8] #268: length 373, score 248, epsilon 0.030
[1388.4] #269: length 324, score 281, epsilon 0.030
[1389.1] #270: length 389, score 203, epsilon 0.030
[1389.9] #271: length 395, score 219, epsilon 0.030
[1390.8] #272: length 508, score 223, epsilon 0.030
[1392.8] #273: length 1062, score 188, epsilon 0.030
[1393.5] #274: length 388, score 207, epsilon 0.030
[1394.1] #275: length 334, score 255, epsilon 0.030
[1394.8] #276: length 375, score 264, epsilon 0.030
[1395.5] #277: length 382, score 226, epsilon 0.030
[1396.3] #278: length 450, score 227, epsilon 0.030
[1397.4] #279: length 631, score 224, epsilon 0.030
[1398.1] #280: length 370, score 234, epsilon 0.030
[1398.8] #281: length 362, score 218, epsilon 0.030
[1399.5] #282: length 394, score 210, epsilon 0.030
[1400.3] #283: length 400, score 233, epsilon 0.030
[1401.3] #284: length 486, score 207, epsilon 0.030
[1401.9] #285: length 343, score 248, epsilon 0.030
[1402.7] #286: length 434, score 213, epsilon 0.030
[1403.4] #287: length 357, score 234, epsilon 0.030
[1404.1] #288: length 403, score 220, epsilon 0.030
[1404.4] #289: length 174, score -32, epsilon 0.030
[1405.3] #290: length 506, score 254, epsilon 0.030
[1406.6] #291: length 675, score 231, epsilon 0.030
[1407.7] #292: length 543, score 218, epsilon 0.030
[1408.0] #293: length 150, score -17, epsilon 0.030
[1409.1] #294: length 563, score 217, epsilon 0.030
[1409.7] #295: length 353, score 250, epsilon 0.030
[1411.1] #296: length 694, score 205, epsilon 0.030
[1412.1] #297: length 499, score 214, epsilon 0.030
[1413.2] #298: length 535, score 225, epsilon 0.030
[1414.3] #299: length 562, score 200, epsilon 0.030
[1414.9] #300: length 345, score 235, epsilon 0.030
[1415.6] #301: length 375, score 243, epsilon 0.030
[1415.9] #302: length 196, score 36, epsilon 0.030
[1416.4] #303: length 299, score 245, epsilon 0.030
[1417.3] #304: length 490, score 219, epsilon 0.030
[1417.9] #305: length 316, score 283, epsilon 0.030
[1419.2] #306: length 666, score 240, epsilon 0.030
[1420.2] #307: length 506, score 231, epsilon 0.030
[1421.3] #308: length 572, score 218, epsilon 0.030
[1422.8] #309: length 767, score 143, epsilon 0.030
[1423.4] #310: length 360, score 273, epsilon 0.030
[1424.3] #311: length 462, score 238, epsilon 0.030
[1426.1] #312: length 821, score 236, epsilon 0.030
[1427.0] #313: length 458, score 201, epsilon 0.030
[1427.7] #314: length 411, score 237, epsilon 0.030
[1428.4] #315: length 346, score 218, epsilon 0.030
[1429.1] #316: length 384, score 234, epsilon 0.030
[1430.3] #317: length 627, score 233, epsilon 0.030
[1431.3] #318: length 533, score 233, epsilon 0.030
[1431.9] #319: length 328, score 279, epsilon 0.030
[1432.5] #320: length 313, score 228, epsilon 0.030
[1433.1] #321: length 371, score 273, epsilon 0.030
[1434.2] #322: length 542, score 217, epsilon 0.030
[1434.9] #323: length 396, score 245, epsilon 0.030
[1435.8] #324: length 464, score 271, epsilon 0.030
[1436.4] #325: length 341, score 252, epsilon 0.030
[1437.2] #326: length 408, score 224, epsilon 0.030
[1442.3] #327: length 2312, score 156, epsilon 0.030
[1444.5] #328: length 904, score 171, epsilon 0.030
[1445.1] #329: length 308, score 256, epsilon 0.030
[1446.4] #330: length 704, score 225, epsilon 0.030
[1447.0] #331: length 327, score 251, epsilon 0.030
[1447.6] #332: length 349, score 259, epsilon 0.030
[1448.5] #333: length 469, score 208, epsilon 0.030
[1449.1] #334: length 336, score 279, epsilon 0.030
[1449.7] #335: length 338, score 237, epsilon 0.030
[1450.6] #336: length 459, score 281, epsilon 0.030
[1451.1] #337: length 295, score 232, epsilon 0.030
[1453.0] #338: length 780, score 200, epsilon 0.030
[1454.6] #339: length 754, score 223, epsilon 0.030
[1455.2] #340: length 336, score 204, epsilon 0.030
[1455.8] #341: length 302, score 257, epsilon 0.030
[1456.5] #342: length 381, score 242, epsilon 0.030
[1457.0] #343: length 305, score 224, epsilon 0.030
[1457.6] #344: length 307, score 217, epsilon 0.030
[1458.3] #345: length 386, score 245, epsilon 0.030
[1458.9] #346: length 317, score 240, epsilon 0.030
[1463.3] #347: length 1709, score 83, epsilon 0.030
[1465.1] #348: length 878, score 173, epsilon 0.030
[1465.7] #349: length 318, score 284, epsilon 0.030
[1466.8] #350: length 587, score 221, epsilon 0.030
[1467.6] #351: length 404, score 203, epsilon 0.030
[1468.2] #352: length 346, score 222, epsilon 0.030
