[87.8] #165: length 500, score 73, avg -55.5, epsilon 0.435
[89.8] #166: length 500, score 90, avg -54.3, epsilon 0.433
[90.7] #167: length 257, score -27, avg -53.7, epsilon 0.431
[92.6] #168: length 500, score 123, avg -52.0, epsilon 0.429
[94.5] #169: length 500, score 27, avg -51.0, epsilon 0.427
[96.6] #170: length 500, score 106, avg -49.1, epsilon 0.424
[98.6] #171: length 500, score -38, avg -49.1, epsilon 0.422
[100.6] #172: length 500, score 89, avg -47.4, epsilon 0.420
[101.1] #173: length 135, score 3, avg -46.4, epsilon 0.418
[103.1] #174: length 500, score 32, avg -45.3, epsilon 0.416
[105.1] #175: length 500, score -25, avg -44.7, epsilon 0.414
[107.1] #176: length 500, score 39, avg -43.3, epsilon 0.412
[108.1] #177: length 265, score -9, avg -41.0, epsilon 0.410
[109.7] #178: length 427, score -119, avg -41.3, epsilon 0.408
[110.2] #179: length 121, score -73, avg -42.5, epsilon 0.406
[110.6] #180: length 124, score -17, avg -41.8, epsilon 0.404
[112.7] #181: length 500, score 62, avg -40.4, epsilon 0.402
[114.7] #182: length 500, score 67, avg -39.1, epsilon 0.400
[116.6] #183: length 500, score 74, avg -37.6, epsilon 0.398
[117.3] #184: length 197, score -68, avg -37.7, epsilon 0.396
[119.4] #185: length 500, score 81, avg -36.1, epsilon 0.394
[119.9] #186: length 145, score -15, avg -35.5, epsilon 0.392
[122.0] #187: length 500, score 68, avg -34.0, epsilon 0.390
[122.9] #188: length 255, score 8, avg -33.0, epsilon 0.388
[124.9] #189: length 500, score 65, avg -31.4, epsilon 0.386
[126.8] #190: length 500, score 81, avg -29.7, epsilon 0.384
[128.1] #191: length 349, score -114, avg -29.4, epsilon 0.382
[130.1] #192: length 500, score 129, avg -27.6, epsilon 0.380
[132.2] #193: length 500, score 81, avg -26.0, epsilon 0.378
[133.4] #194: length 301, score -20, avg -25.7, epsilon 0.376
[133.8] #195: length 137, score -50, avg -25.2, epsilon 0.374
[135.9] #196: length 500, score 86, avg -23.5, epsilon 0.373
[136.9] #197: length 273, score -198, avg -23.7, epsilon 0.371
[139.0] #198: length 500, score 41, avg -22.7, epsilon 0.369
[141.0] #199: length 500, score 30, avg -22.4, epsilon 0.367
[143.0] #200: length 500, score 58, avg -21.0, epsilon 0.365
[145.0] #201: length 500, score 89, avg -19.2, epsilon 0.363
[147.0] #202: length 500, score 147, avg -16.7, epsilon 0.361
[147.4] #203: length 110, score -117, avg -16.9, epsilon 0.360
[149.4] #204: length 500, score 59, avg -15.4, epsilon 0.358
[151.5] #205: length 500, score 86, avg -14.2, epsilon 0.356
[153.5] #206: length 500, score 102, avg -12.3, epsilon 0.354
[153.8] #207: length 87, score -16, avg -10.7, epsilon 0.353
[155.9] #208: length 500, score 49, avg -9.4, epsilon 0.351
[157.9] #209: length 500, score 28, avg -8.3, epsilon 0.349
[158.3] #210: length 125, score 27, avg -7.4, epsilon 0.347
[160.2] #211: length 500, score 140, avg -5.4, epsilon 0.346
[160.8] #212: length 167, score -56, avg -4.6, epsilon 0.344
[162.8] #213: length 500, score 112, avg -2.9, epsilon 0.342
[163.5] #214: length 179, score -133, avg -3.6, epsilon 0.340
[165.4] #215: length 500, score -62, avg -5.7, epsilon 0.339
[167.5] #216: length 500, score 101, avg -4.2, epsilon 0.337
[169.6] #217: length 500, score 70, avg -3.5, epsilon 0.335
[171.6] #218: length 500, score 61, avg -1.9, epsilon 0.334
[173.7] #219: length 500, score 96, avg -0.1, epsilon 0.332
[175.6] #220: length 500, score 92, avg 1.8, epsilon 0.330
[177.7] #221: length 500, score 116, avg 3.8, epsilon 0.329
